철분은 왜 부족해요?	혈압이 좀 낮아서 빈혈 증상이 나타나실 수도 있어요
가격은 어떻게 되나요?	78000원이에요
요 가방은 얼마예요?	그 가방은 만 팔천 원이에요
착용해볼 수 있어요?	착용은 안되고 살짝 대보시면 됩니다
보통 몇 퍼센트 할인하나요?	전체 이월 상품 20퍼센트씩 할인중입니다
이거 생활방수 돼요?	이게 세트로 이렇게 나오거든요
몇 시에 문 여셔서 닫으시는 거예요?	오전 7시부터 오후 8시까지 영업합니다
이거는 물 빨래 되겠네요?	물 세탁하셔도 돼요 솔로 문지르셔도 되고요
저거는 면 종류인가 봐요?	만져보세요
이거 가격 얼마예요?	5만 원입니다
앞머리는 지금도 짧아서 안 잘라주셔도 될 거 같아요	그럼 뒷머리만 마저 정리해드릴게요
누가 입으실 거죠?	시어머니요. 명절 선물 사드리게요
밑에서 올라오면 다해야 하는데 괜찮을까요?	전체적으로 다 하셔야 할 것 같습니다
혹시 여기 염색 제가 피부가 민감해서 그런데 간단하게 할 수 있는 거 있어요?	어떤 염색인지에 따라 달라요
구두를 하나 추천해주시겠어요?	이 검정색의 구두를 추천드리고 싶어요
이 금팔찌는 무게가 얼마 정도인지 확인할 수 있어요?	세 돈이 조금 넘네요
사장님 양복에 얼룩이 졌는데 그거 지울 수 있어요?	봐야지 알수 있습니다
이거는 얼마예요 핑크색 가방	그것은 16000원입니다
사이즈 도와드릴까요?	잠시만요
여기 좀 잘 나가는 게 어떤 스타일이에요?	레이어드 제품 찾으시면은 이게 잘 나가고 조금 두꺼운 거 찾으시면 이런 것도 잘 나가요
지금 여기 있는 게 다예요?	다예요
방수 되나요?	방수는 되지 않습니다
이 귀걸이는 재질이 뭔가요?	스털링 실버 입니다
문은 언제부터 언제까지 열어요?	아침 열시부터 저녁에는 보통 열시까지 열죠
어떤 게 눈에 좋은 영양제예요?	눈에 좋은 루테인이랑 오메가쓰리가 같이 포함돼 있고 항산화 종합제도 들어가 있는 영양제인데 세 개 각각 먹는 것보다 훨씬 쌉니다
조깅할때 운동할때 신으려고요	이런게 지금 좀 저렴하게 나왔어요
요 제품 울세탁하면 안늘어날까요?	그 제품 늘어나진 않지만 세탁기 돌리면 보풀일어나요
구입을 할려면 지금 이 시점에 하는 게 맞네요	설 기획 제품이 다른 기획보다 사은품이 많아요
고객님 사이즈가 어떻게 되세요?	괜찮아요 이 제품은 프리사이즈예요
요거는 무슨 주머니에요?	소지품 같은 거 넣는 겁니다
특실은 얼마에요?	특실은 10만 원입니다
매직은 얼마인가요?	매직은 기본 4만 원부터 가능합니다
요런 크로스백은 얼마씩 해요?	그 크로스백은 삼만 오천 원이에요
이거 좀 보여주세요	이것은 크로스 가방이고 세트로 가격은 3만 3천 원입니다
집에서 잘 안돼서 왔는데 헤나염색했었는데 헤나염색해주나요?	여긴 안해요
원피스죠 투피스인가요?	원피스예요
그럼 이 노란색으로 하나 주세요	새거로 꺼내드리겠습니다
만약에 쌀하고 그런 거 들어가 있다든지 그런 거 있잖아요	쌀은 안 들어 있어요
이 옷이랑 같은 제품 검은색도 있을까요?	그 제품은 현재 레드랑 블루밖에 안 남았어요
오늘 예약은 언제 가능한가요?	오늘 예약은 전부 마감되었습니다.
