8인실로 예약 가능한가요?	8인실은 예약 가능해요
삼겹살은 국내산인가요?	삼겹살은 수입품이에요
곶감 요거 3만7천원인가요?	맞아요. 조금 큰게 3만7천원 조금 작은게 3만원이에요
네 얼마나 자르실건가요?	상한 머리카락만 좀 자르려구요
여기 가게 이름이 뭐예요?	의성청과에요.
혹시나 영양제 구입하면 포장도 해 주나요?	저희 약국은 포장이 어렵습니다
당구장 영업시간이 몇 시부터 몇 시까지 인가요?	10시에서 10시 반 사이에 문 열어가지고 새벽 4시까지 해요
언제로 예약해드릴까요?	이번주 금요일이요
마론마키야또는 무슨 맛이에요?	마론마키야또는 단 맛이 납니다
요즘 어떤 게 제철 과일인가요?	겨울에는 제주 감귤이지 제철이에요.
그러면 볶음밥 하나 주시겠어요?	볶음밥 하나 드릴게요
카드 가능한가요?	카드 결제 가능하세요
별미김밥에다가 매콤하게 한 게 매콤멸치김밥이에요?	멸치에 매운 청양 많이 넣고 대신에 오이는 빠져요
헬스장 같은 경우에는 유료라고 하셨죠?	투숙객은 헬스장과 온천 사우나까지 하시면 만삼천원이에요
껴봐도 되나요?	거울은 저쪽에 있습니다
포인트 적립해주세요	번호 입력해주세요
케이크 미리 주문 가능한가요?	가능합니다.
딸기하고 바나나 있는건 얼마에요?	사천원이요
여기 시럽 한 번만 넣을 수 있어요?	저쪽에서 고객님이 넣으시면 됩니다
이거는 카드 한 장 들어가는 거죠?	두 장 들어가요
이 옷은 너무 얇지 않나요?	겨울용이라 어머니들은 이런 옷을 막입으세요
그럼 한글 프로그램 되는 컴퓨터는요?	자리 현재 남아있습니다
혼자 왔는데	일 인분은 안되고 이 인분부터 가능합니다
시어머니 입으실 빅사이즈 없나요?	사이즈는 105까지 있어요
진짜 금으로 만든건가요?	맞습니다.
결제를 한달 씩 끊어서 하면 조금 싸게 돼요?	할인은 없어요
골프웨어 좀 길게 나온 게 있나요?	길게 나오지는 않고 이런 게 좀 긴 편이에요
몇 시에 문 여세요?	오전 열 시요
치마와 함께 입을 니트 있나요?	울 니트가 잘 나가요
그럼 옥수수빵도 나오나요?	옥수수빵은 재료가 품절돼서 오늘은 안 나와요
바비큐장 이용 비용은 별도인가요?	이용비는 없고 숯만 유료로 구입하실 수 있어요
물도 좀 주세요	물은 셀프바에서 가져다 드시면 됩니다
접시로 오시나요 일회용으로 오시나요?	그릇으로 갑니다
커팅 된 거 하나만 포장해주세요	깜빠뉴 반 개, 포장해 드릴게요
이용요금은 10분에 얼마에요?	1500원이에요
칼라로 인쇄하고 싶은데 도와주세요	잠시만 기다려주세요
편의시설은 어떤 게 있나요?	키즈카페는 따로 구비되어 있지는 않아요
이 색보단 저 색이 낫지 않아요?	겨울에는 이 색도 괜찮아요
수면제 처방 가능한가요?	아뇨 처방전 없이는 불가능합니다.
어떤 리폼을 말씀하시는 거예요?	수선 정도에 따라 다르지만, 수선 비용은 오만 원 정도로 예상됩니다
현금영수증 주세요	현금영수증 번호 입력해주세요
펌을 하려고 합니다	머리가 좀 상했네요
크림치즈 추가해 드릴까요	추가해주세요
보통 붉은 색보다 저런 색상이 점잖아보이네요?	그 색이 가장 나아요
SNS에 올려주시면 음료 무료로 드려요	제가 SNS를 안해서요
토요일은 열어놓죠?	토요일은 열어요
세일해서 이십구만원이요 몇 프로 할인된 거에요?	신상품인데 이십프로 할인이에요
이 원피스에 어울리는 카디건 있나요?	블랙 카디건 있어요
아메리카노 아이스로 가능한가요?	아이스는 500원 추가됩니다
혹시 포켓볼 테이블도 있나요?	있습니다
한 달씩 이렇게 하면요?	한 달에 6만 원입니다
커피 중에 덜 단 게 어떤 거에요?	덜 단 게 라떼입니다
알파인 베리 워터리 크림은 어떠세요?	그 제품도 주세요
그럼 선반에 있는 마늘장아찌랑 멸치볶음 하나 주세요	두개 포장해서 드릴게요
귀찌도 있나요?	귀찌는 삼천원씩이에요
고추 짬뽕은 많이 매워요?	많이 매워요
2월 14일 오후 12시에 가능한가요?	가능합니다.
환불은 언제까지돼요?	제품에 문제가 있을시 7일전까지 방문해주시면 가능해요
지금까지 적립금 알 수 있을까요	적립금 1000원 쌓여있습니다
그리고 미지근한 물도 1잔만 부탁드려요	같이 준비해드리겠습니다
언제 재입고 되나요?	아마 한 달쯤은 걸리실 거예요
혹시 그 위에 다가 시나몬 가루 좀 뿌려주실 수 있나요?	시나몬 가루 뿌려드릴게요
한우 어느 부위에요?	목심이에요
땅콩 카라멜 라떼는 땅콩이 들어가나요?	땅콩하고 카라멜 넣은 메뉴입니다
주말에 예약이 가능한가요?	4월 6일에 침실 2개 자리가 있는데, 6명 추가 요금 해서 18만원이에요
가방이 되게 가벼운데 소가죽 제품이 맞나요?	스크래치에 강한 소가죽 제품이 맞습니다
양파랑 단무지 많이 넣어주세요	알겠습니다
예약 날짜는 어떻게 되나요?	1월 1일에 하고 싶어요
공휴일에도 영업하시나요?	휴일없이 일 하고 있어요
방은 깨끗하겠죠?	매일 대청소를 하기 때문에 방은 깨끗해요
가족세트로 하나 주세요	가족세트로 준비해드리겠습니다
그럼 겉절이랑 깍두기 좀 섞어주세요	잠시만 기다리세요
특실 없어요?	여자분은 있고, 남자분은 없습니다
밑에 무르거나 그런 건 아니죠?	무르지 않도록 밑에 플라스틱으로 받쳐두었어요.
커피콘은 밀가루에 커피를 넣은 건가요?	와플같은 디저트입니다
이것도 세일합니까?	다 세일해요
커피 같은 건 안 되나요?	안돼요
네 반찬은 셀프인가요?	반찬이랑 국물은 셀프예요
그 화장품은 스킨이에요?	이 화장품은 겸용제품이에요
현금으로 하면 할인해주시나요?	카드랑 가격 똑같아요
카카오페이는 현재 안 하고 있고 계좌이체는 가능하세요	계좌이체 해야 하는구나?
풀케어는 얼마에요?	풀케어는 2만 5천 원입니다
메뉴 어떤 게 잘 나가요?	다 잘 나가요
육천 원입니다	여기 있어요
어떤 용도로 쓰실건데요?	요새 미세먼지 심하니까 밖에 돌아다닐 때 쓸려고요
그럼 커플석으로 두 자리 주세요	74번 75번 자리 켜드릴게요
전화번호 뒷자리가 어떻게 되세요?	전화번호 뒷자리 둘둘팔공이에요
약을 이온음료와 같이 먹어도 되나요?	물로 드시는 게 좋습니다.
몇 분이서 드실 겁니까?	세 분이면 투 탑 박스가 두 판이기 때문에 드실 수 있습니다
이 빗은 가방에 넣고 다니기 괜찮나요?	작은 빗은 가방에 넣고 다니기 편하세요
입어 봐도 될까요?	한 번 입어보세요
카드는 하면 얼만데요?	카드는 3만 5천 원요
이게 최고 인기에요?	이번에 들어온 신상품인데 이 가방이 저희 가게에서 인기가 좋아요
드시고 가시나요?	아뇨 테이크아웃 할 거예요
헤드셋 대여도 가능한가요?	가능합니다
전화로도 예약이 가능한 거죠?	전화 예약 가능합니다
카드로 결제 가능한가요?	가능합니다.
주차도 가능한가요?	2시간 무료로 건물 주차장 이용하시면 돼요
아침은 주나요?	저희는 조식은 안 드려요
얼마나 걸리나요?	10분 정도 기다리시면 됩니다
네 그럼 같이 해주세요	샴푸 먼저 해드릴게요
몇 분이세요?	3명이요
물 빨래하면 돼요?	아뇨 이거는 가죽이라서 따로 물 빨래하실 필요 없고요 그냥 물티슈 같은 걸로 닦으시면 돼요
떡국 떡은 얼마예요?	가래떡 가격은 오천원이에요
동네인데도 가격이 세네요?	손상모를 복구 후 파마를 하기 때문에 가격이 조금 비쌉니다
당구대 교체해주세요	무엇 때문에 그러시죠
언제 예약하면 되나요?	최소 하루 전에 예약하시면 됩니다
한 장에 얼마인가요?	흑백은 200원이고 칼라는 500원입니다
이용요금이 얼마인가요?	2인이면 12만원이에요
여기 주차할 데는 있어요?	뒤에 주차장 있어요
체크인은 몇 시까지 해야 되는지요?	따로 체크인 시간은 정해져있지는 않아요
후라이드랑 양념이랑 달라요?	달라요 후라이드가 두꺼워요 양념소스 찍어드세요
스위트룸으로 3일 묵으려는데 가격이 얼마나 되나요?	758000원이에요
등뼈 핏물은 몇 분쯤 빼면 돼요?	등뼈 핏물은 한 시간 정도 빼면 돼요
혹시 설탕은 없어요?	설탕 있습니다
가래떡 4kg 떡볶이떡 4kg 이렇게 해드릴까요?	그렇게 해주세요
숟가락은 어디 있어요?	여기 있어요
요 사이즈밖에 없어요?	그거밖에 없어요
