네, 언제부터 언제까지 묵으세요?	4월 셋째 주 금토일로 2박 3일로 부탁드립니다
파티룸 있나요?	파티룸 있어요
취사도구도 갖추어져 있나요?	취사도구는 다 준비되어 있어요
초크 좀 새로 준비해주세요	새 초크는 당구대 아래쪽에 준비되어 있습니다
다음 주 토요일에 6인 가능한 방 있나요?	있어요
당구장까지 오는 짜장면 집 있나요?	카운터에서 전화해서 시켜드릴게요
정액권 종류가 어떻게 돼요?	10시간 20시간이 있습니다
예약도 가능한가요?	약은 어렵습니다
몇 시에 준비해드릴까요?	저녁 7시요
화장실에 기저귀 교환대가 있을까요?	기저귀 교환대는 아직 없는 상태에요
시간당 얼마예요?	천 원입니다
체크인은 몇 시부터 하나요?	체크인은 3시부터이고 체크아웃은 11시까지예요
그러면 청소년들은 몇 시까지 이용이 가능해요?	청소년들은 아침 9시부터 저녁 10시까지 이용 가능하세요
룸서비스는 이용 시간이 몇 시부터 몇 시까지예요?	룸서비스 조식은 일곱시부터 여덟시까지 이용이 가능하시고, 중식과 석식은 오전 열시에서 밤 아홉시까지 가능하세요
출력할 때는 말씀드리고 뽑아야 하나요?	아뇨 뽑고 말씀해주셔도 돼요
그럼 새우탕 하나 끓여주세요	단무지 추가 천 원입니다
네 서비스 음료 뭐로 드릴까요?	알겠습니다
무엇을 도와 드릴까요?	가족 네 명이 오월 오일에 묵으려고 하는데, 바다 뷰가 보이는 곳이 얼마 정도 할까요?
계산은 카드로도 가능한가요?	카드로도 계산 가능하세요
바비큐 장비는 있나요?	그릴과 숯불 등 편하게 사용하실 수 있게 장비가 전부 준비되어 있어 고기만 준비하시면 됩니다
95년생 맞으세요?	95년생 맞습니다
자리 있나요?	현재 포켓볼 자리만 있어요
투숙객이 호텔 내에서 공짜로 이용할 수 있는 곳은 어디인가요?	수영장 헬스장 사우나이지만 다른 분들은 이용요금을 지불해야해요
이용하실 날짜가 언제쯤인가요?	토요일이요
회원가랑 비회원가랑 혹시 다른가요?	회원가랑 비회원가랑 다릅니다
회원가입해야 이용 가능한가요?	게스트로도 이용 가능하세요
열 시간 선불할게요	만 원입니다
컴퓨터 사양은 요즘 유행하는 게임이 다 돌아가나요?	배틀그라운드 돌아갑니다
거기 3일 연박도 돼요?	3일 연박 가능해요
예약했는데 확인 좀 해주실래요?	객실은 2006호실 오션뷰에요
얼마나 기다려야 하죠?	10분 정도 예상되네요
흡연부스 있나요?	있습니다
여기 회원가입하려면 어떻게 하죠?	이쪽 컴퓨터에서 등록 가능하세요
혹시 피씨방 영업시간이 언제까지 인가요?	24시간 영업입니다
물 좀 더 주실 수 있나요?	10분 내로 가져다드리도록 할게요
음료는 객실에 어떤 거를 제공해주시나요?	생수랑 오렌지 주스류는 냉장고에 있고, 부족할 때 말씀해주시면 저희가 채워드려요
외부 음식도 반입이 가능한가요?	저희는 외부 음식 반입을 안됩니다
세 시간에 얼마예요?	5000원입니다
마이크로소프트 오피스 되는 컴퓨터 있나요?	두 대 있는데 모두 사용 중이세요
청소년 이용시간 말씀하시는 거죠?	성인 이용시간이요
인원은 몇 명인 가요?	5명입니다
실내수영장도 없나요?	수영장은 실외만 있어요
회원가는 따로 있나요?	회원가는 700원입니다
네 일단 몇 분이세요?	저희 4명이요
결제할 때 삼성페이 결제가 가능한가요?	삼성페이는 담당자분께 여쭤봐야 할 거 같아요
가격이나 이런 거는 프런트에서 답변을 못 주시는 거예요?	사월 십삼일 토요일 정상가가 이십 일만 이천 원인데, 할인을 해드리면 십팔만 원까지 가능하네요
금연구역은 어디인가요?	창가 쪽은 다 금연구역입니다
당구대는 어떤 걸로 쓰면 되나요?	비어있는 당구대로 가서 치시면 됩니다
이왕이면 조용한 방으로 안내해 주세요	안쪽의 조용한 객실로 드릴게요
